Date,Store,Product,Price,Quantity,Total Sales,Audit_Date,Audit_Store,Audit_Product,Audit_Price
2025-05-03,Happy Cow,Skirt Steak,179.99,10.0,1799.9,,,,
2025-07-25,North Butcher,Beef,150.09,5.0,750.45,,,,
2026-01-17,Happy Cow,Chicken,182.36,12.0,2188.32,,,,
2025-06-07,The Little Bull,Skirt Steak,156.3,1.0,156.3,,,,
2025-11-30,Happy Cow,Pork,206.85,8.0,1654.8,,,,
2025-10-29,Super Meats,Skirt Steak,172.34,13.0,2240.42,,,,
2025-05-11,The Little Bull,Chicken,155.51,17.0,2643.67,,,,
2025-09-24,Fine Cuts MX,Sausage,118.89,18.0,2140.02,,,,
2025-09-20,Fine Cuts MX,Sausage,132.23,4.0,528.92,,,,
2025-07-17,Super Meats,Sausage,39.16,3.0000000000000004,117.48,,,,
2025-08-16,North Butcher,Chicken,219.48,18.0,3950.64,,,,
2025-12-02,Unknown,Beef,159.02,12.0,1908.24,,Unknown,,
2025-10-04,Fine Cuts MX,Beef,203.55,3.0,610.65,,,,
2025-06-30,Super Meats,Skirt Steak,215.27,13.0,2798.51,,,,
2025-10-03,Happy Cow,Skirt Steak,151.05,12.0,1812.6,,,,
2026-01-27,Happy Cow,Beef,169.6,19.0,3222.4,,,,
2026-03-24,North Butcher,Ribs,143.77,5.0,718.85,,,,
2025-06-05,North Butcher,Chicken,207.91,16.0,3326.56,,,,
,North Butcher,Beef,189.58,10.0,1895.8,Missing Date,,,
2025-05-24,Fine Cuts MX,Beef,240.68,15.0,3610.2,,,,
2025-12-04,Super Meats,Chicken,170.23,12.0,2042.76,,,,
2025-09-16,Fine Cuts MX,Ribs,78.03,9.0,702.27,,,,
2025-05-31,The Little Bull,Chicken,130.83,5.0,654.15,,,,
2025-06-08,Super Meats,Chicken,203.03,17.0,3451.51,,,,
2025-08-25,Super Meats,Skirt Steak,161.87,4.0,647.48,,,,
2025-10-23,The Little Bull,Chicken,33.02,7.0,231.14,,,,
2025-12-15,The Little Bull,Sausage,132.42,7.0,926.94,,,,
2026-01-17,Happy Cow,Beef,222.19,8.0,1777.52,,,,
2026-01-08,North Butcher,Ribs,54.25,1.0,54.25,,,,
2025-05-29,The Little Bull,Pork,122.54,1.0,122.54,,,,
2025-08-31,The Little Bull,Sausage,27.04,12.0,324.48,,,,
2026-02-23,The Little Bull,Ribs,136.63,11.0,1502.93,,,,
2026-01-26,North Butcher,Beef,222.56,1.0,222.56,,,,
2025-06-29,Unknown,Ribs,197.96,16.0,3167.36,,Unknown,,
,Fine Cuts MX,Beef,106.22,8.0,849.76,Missing Date,,,
2025-06-21,Happy Cow,Chicken,138.26,8.0,1106.08,,,,
2025-10-20,Happy Cow,Skirt Steak,54.36,13.0,706.68,,,,
2025-08-19,The Little Bull,Chicken,168.12,14.0,2353.68,,,,
2025-11-19,The Little Bull,Chicken,234.23,2.0,468.46,,,,
2026-03-06,Fine Cuts MX,Sausage,63.48,13.0,825.24,,,,
2025-07-08,Happy Cow,Beef,144.6,15.0,2169.0,,,,
2026-01-04,The Little Bull,Skirt Steak,226.36,17.0,3848.12,,,,
2025-04-30,North Butcher,Beef,70.28,16.0,1124.48,,,,
2026-01-16,Super Meats,Beef,120.03,5.0,600.15,,,,
2025-06-25,North Butcher,Chicken,225.81,5.0,1129.05,,,,
2025-06-20,Happy Cow,Sausage,165.62,14.0,2318.68,,,,
2025-07-29,The Little Bull,Sausage,106.39,1.0,106.39,,,,
2025-08-02,Happy Cow,Sausage,582.25,8.0,4658.0,,,,
2025-09-08,Happy Cow,Sausage,213.77,18.0,3847.86,,,,
2025-11-04,North Butcher,Sausage,145.42,5.0,727.1,,,,
2025-10-22,Fine Cuts MX,Sausage,121.84,15.0,1827.6,,,,
2025-05-10,Fine Cuts MX,Sausage,276.96,11.0,3046.56,,,,
2025-07-29,Super Meats,Ribs,63.46,19.0,1205.74,,,,
2026-01-16,The Little Bull,Chicken,222.22,6.0,1333.32,,,,
2025-07-29,Happy Cow,Beef,55.81,17.0,948.77,,,,
2025-07-23,Super Meats,Ribs,169.2,2.0,338.4,,,,
2025-07-26,Super Meats,Beef,148.37,16.0,2373.92,,,,
2026-01-20,North Butcher,Skirt Steak,94.91,8.0,759.28,,,,
2026-04-02,The Little Bull,Skirt Steak,152.19,18.0,2739.42,,,,
2025-10-24,Super Meats,Chicken,203.68,5.0,1018.4,,,,
2026-01-31,North Butcher,Skirt Steak,152.54,5.0,762.7,,,,
2025-06-13,North Butcher,Unknown,125.57,2.0,251.14,,,Unknown,
2025-11-05,North Butcher,Skirt Steak,118.74,15.0,1781.1,,,,
2025-09-17,North Butcher,Ribs,136.32,11.0,1499.52,,,,
,Happy Cow,Unknown,192.57,17.0,3273.69,Missing Date,,Unknown,
2025-05-15,North Butcher,Skirt Steak,118.98,15.0,1784.7,,,,
2025-09-16,Happy Cow,Skirt Steak,74.24,2.0,148.48,,,,
2025-12-31,Super Meats,Beef,303.94,13.0,3951.22,,,,
2026-02-08,The Little Bull,Ribs,205.98,19.0,3913.62,,,,
2025-09-17,Super Meats,Unknown,140.65,17.0,2391.05,,,Unknown,
2025-11-21,Super Meats,Pork,147.61,12.0,1771.32,,,,
2025-11-12,Fine Cuts MX,Chicken,41.17,9.0,370.53,,,,
2025-12-18,Fine Cuts MX,Chicken,130.45,15.0,1956.75,,,,
2025-08-06,Fine Cuts MX,Sausage,223.97,10.0,2239.7,,,,
,Happy Cow,Ribs,249.31,2.0,498.62,Missing Date,,,
2025-07-14,Fine Cuts MX,Sausage,174.83,6.0,1048.98,,,,
2025-07-09,Fine Cuts MX,Beef,140.29,11.0,1543.19,,,,
2025-09-14,North Butcher,Sausage,158.7,11.0,1745.7,,,,
2025-07-07,Super Meats,Skirt Steak,195.39,17.0,3321.63,,,,
2025-05-12,North Butcher,Beef,178.32,11.0,1961.52,,,,
2025-09-30,Super Meats,Chicken,191.59,12.0,2299.08,,,,
2025-10-29,Super Meats,Pork,104.52,17.0,1776.84,,,,
2025-09-25,Happy Cow,Pork,181.93,14.0,2547.02,,,,
2025-07-22,Unknown,Chicken,146.7,11.0,1613.7,,Unknown,,
2025-07-21,Fine Cuts MX,Pork,89.45,10.0,894.5,,,,
2026-03-08,Happy Cow,Sausage,181.33,44.0,7978.52,,,,
2025-10-05,Fine Cuts MX,Skirt Steak,99.37,9.0,894.33,,,,
2026-01-10,Super Meats,Beef,61.49,17.0,1045.33,,,,
2025-07-16,Super Meats,Pork,98.37,18.0,1770.66,,,,
2026-03-13,North Butcher,Chicken,154.33,8.0,1234.64,,,,
2026-01-01,Fine Cuts MX,Beef,142.22,3.0,426.66,,,,
2025-05-12,North Butcher,Ribs,164.49,4.0,657.96,,,,
2025-07-24,Super Meats,Chicken,253.77,18.0,4567.86,,,,
2025-12-28,Fine Cuts MX,Pork,116.18,6.0,697.08,,,,
2025-08-25,Super Meats,Unknown,38.48,1.0,38.48,,,Unknown,
2025-08-21,Fine Cuts MX,Chicken,191.47,8.0,1531.76,,,,
2025-11-17,Fine Cuts MX,Skirt Steak,39.44,6.0,236.64,,,,
2025-06-02,The Little Bull,Pork,106.26,15.0,1593.9,,,,
2026-03-21,North Butcher,Beef,129.98,7.0,909.86,,,,
2026-02-02,The Little Bull,Pork,191.41,1.0,191.41,,,,
2025-12-05,North Butcher,Beef,200.49,10.0,2004.9,,,,
2025-07-26,Unknown,Chicken,154.35,15.0,2315.25,,Unknown,,
2025-07-27,Fine Cuts MX,Chicken,102.63,15.0,1539.45,,,,
2025-11-18,Super Meats,Beef,103.89,4.0,415.56,,,,
2025-10-24,North Butcher,Beef,97.08,10.0,970.8,,,,
2025-08-16,Happy Cow,Skirt Steak,124.35,15.0,1865.25,,,,
2025-05-24,North Butcher,Pork,136.56,8.0,1092.48,,,,
2025-05-28,Happy Cow,Sausage,119.87,9.0,1078.83,,,,
2025-09-23,Happy Cow,Beef,215.09,8.0,1720.72,,,,
,Fine Cuts MX,Pork,133.54,14.0,1869.56,Missing Date,,,
2026-04-03,North Butcher,Pork,126.49,1.0,126.49,,,,
2026-01-11,Happy Cow,Ribs,65.38,9.0,588.42,,,,
2026-02-04,Happy Cow,Ribs,226.48,9.0,2038.32,,,,
2025-10-13,North Butcher,Pork,72.21,17.0,1227.57,,,,
2025-12-18,Super Meats,Sausage,10.77,19.0,204.63,,,,
2025-09-29,Happy Cow,Chicken,115.09,17.0,1956.53,,,,
2025-10-28,Happy Cow,Sausage,136.56,8.0,1092.48,,,,
2025-12-23,North Butcher,Chicken,94.67,13.0,1230.71,,,,
2025-08-07,Fine Cuts MX,Sausage,121.64,17.0,2067.88,,,,
2025-12-04,Happy Cow,Pork,206.44,8.0,1651.52,,,,
2026-02-07,Happy Cow,Ribs,161.74,17.0,2749.58,,,,
2025-08-17,North Butcher,Sausage,142.51,10.0,1425.1,,,,
2026-02-07,Fine Cuts MX,Pork,196.78,1.0,196.78,,,,
2025-10-05,Happy Cow,Chicken,213.58,8.0,1708.64,,,,
2025-06-07,North Butcher,Ribs,175.02,15.0,2625.3,,,,
,Happy Cow,Sausage,97.34,14.0,1362.76,Missing Date,,,
2025-10-15,Fine Cuts MX,Pork,136.21,16.0,2179.36,,,,
2026-03-06,North Butcher,Pork,97.12,32.0,3107.84,,,,
2025-10-10,Super Meats,Sausage,166.31,18.0,2993.58,,,,
,Super Meats,Pork,87.44,11.0,961.84,Missing Date,,,
,North Butcher,Beef,72.17,5.0,360.85,Missing Date,,,
2025-12-13,Fine Cuts MX,Chicken,180.3,9.0,1622.7,,,,
2025-09-22,Super Meats,Pork,198.59,17.0,3376.03,,,,
2025-12-06,North Butcher,Beef,148.45,9.0,1336.05,,,,
2026-03-07,Super Meats,Sausage,118.86,11.0,1307.46,,,,
,Fine Cuts MX,Ribs,129.09,13.0,1678.17,Missing Date,,,
2026-01-26,Fine Cuts MX,Sausage,156.03,10.0,1560.3,,,,
2025-09-06,Super Meats,Skirt Steak,215.6,17.0,3665.2,,,,
,North Butcher,Sausage,121.93,6.0,731.58,Missing Date,,,
2025-05-12,Super Meats,Chicken,165.71,13.0,2154.23,,,,
2025-12-06,Fine Cuts MX,Beef,142.09,14.0,1989.26,,,,
2025-09-29,The Little Bull,Beef,190.33,11.0,2093.63,,,,
2025-10-20,Super Meats,Skirt Steak,138.75,4.0,555.0,,,,
2025-06-18,Happy Cow,Pork,210.38,3.0,631.14,,,,
2025-06-13,The Little Bull,Beef,62.26,15.0,933.9,,,,
2026-01-20,Fine Cuts MX,Skirt Steak,143.81,11.0,1581.91,,,,
2025-08-24,Fine Cuts MX,Ribs,168.73,2.0,337.46,,,,
2025-11-24,North Butcher,Ribs,97.56,17.0,1658.52,,,,
2026-02-16,Fine Cuts MX,Skirt Steak,102.77,3.0,308.31,,,,
2025-10-01,Fine Cuts MX,Sausage,134.61,17.0,2288.37,,,,
2025-06-18,Fine Cuts MX,Skirt Steak,117.06,17.0,1990.02,,,,
2025-09-07,Happy Cow,Chicken,169.01,17.0,2873.17,,,,
2026-01-22,The Little Bull,Ribs,180.53,6.0,1083.18,,,,
,The Little Bull,Ribs,217.74,9.0,1959.66,Missing Date,,,
2026-01-16,Happy Cow,Skirt Steak,201.43,10.0,2014.3,,,,
2025-09-26,Super Meats,Pork,87.45,7.0,612.15,,,,
2025-06-18,The Little Bull,Skirt Steak,280.3,9.0,2522.7,,,,
2026-04-07,North Butcher,Pork,217.84,7.0,1524.88,,,,
2025-08-26,Fine Cuts MX,Chicken,132.03,7.0,924.21,,,,
2026-02-08,The Little Bull,Skirt Steak,128.28,2.0,256.56,,,,
2025-06-08,Super Meats,Ribs,134.54,12.0,1614.48,,,,
,Fine Cuts MX,Sausage,252.12,13.0,3277.56,Missing Date,,,
2025-08-31,The Little Bull,Sausage,174.26,10.0,1742.6,,,,
2025-07-16,Happy Cow,Skirt Steak,162.81,13.0,2116.53,,,,
2026-04-02,The Little Bull,Ribs,149.01,60.0,8940.6,,,,
2025-12-26,North Butcher,Pork,148.79,16.0,2380.64,,,,
2025-12-24,Super Meats,Ribs,122.24,10.0,1222.4,,,,
2026-03-26,North Butcher,Chicken,158.42,18.0,2851.56,,,,
2025-10-19,Fine Cuts MX,Chicken,148.27,17.0,2520.59,,,,
2025-04-28,Happy Cow,Chicken,161.71,5.0,808.55,,,,
2025-05-16,North Butcher,Beef,199.22,14.0,2789.08,,,,
,Happy Cow,Sausage,139.3,2.0,278.6,Missing Date,,,
2026-04-17,Super Meats,Beef,208.36,13.0,2708.68,,,,
2025-05-09,The Little Bull,Sausage,231.06,9.0,2079.54,,,,
2025-05-19,Super Meats,Unknown,125.2,15.0,1878.0,,,Unknown,
2025-10-13,The Little Bull,Sausage,141.59,17.0,2407.03,,,,
,The Little Bull,Chicken,189.8,3.0,569.4,Missing Date,,,
,Happy Cow,Ribs,202.43,15.0,3036.45,Missing Date,,,
2025-10-31,North Butcher,Beef,143.35,3.0,430.05,,,,
2025-10-02,The Little Bull,Chicken,206.28,3.0,618.84,,,,
2026-02-16,Happy Cow,Ribs,177.17,5.0,885.85,,,,
2026-03-25,Super Meats,Chicken,152.28,5.0,761.4,,,,
2025-07-24,North Butcher,Sausage,118.45,5.0,592.25,,,,
2025-09-16,Happy Cow,Sausage,152.16,19.0,2891.04,,,,
2026-04-18,Super Meats,Skirt Steak,201.52,2.0,403.04,,,,
,Super Meats,Pork,157.87,16.0,2525.92,Missing Date,,,
2025-08-14,The Little Bull,Skirt Steak,236.57,16.0,3785.12,,,,
2025-11-23,Super Meats,Sausage,203.33,6.0,1219.98,,,,
2025-06-03,The Little Bull,Sausage,141.64,11.0,1558.04,,,,
2025-06-26,Fine Cuts MX,Chicken,157.34,18.0,2832.12,,,,
2025-07-31,The Little Bull,Unknown,150.17,17.0,2552.89,,,Unknown,
2026-04-13,Happy Cow,Pork,130.45,7.0,913.15,,,,
2025-12-18,The Little Bull,Beef,116.48,15.0,1747.2,,,,
2026-03-25,Fine Cuts MX,Chicken,158.78,18.0,2858.04,,,,
2026-01-07,Fine Cuts MX,Pork,170.43,12.0,2045.16,,,,
2026-03-13,Fine Cuts MX,Skirt Steak,209.75,18.0,3775.5,,,,
2025-05-30,North Butcher,Chicken,73.84,12.0,886.08,,,,
2025-10-28,Happy Cow,Chicken,228.28,2.0,456.56,,,,
2025-12-02,Happy Cow,Ribs,214.93,11.0,2364.23,,,,
2025-07-08,Happy Cow,Beef,155.38,14.0,2175.32,,,,
2025-11-06,The Little Bull,Sausage,57.66,6.0,345.96,,,,
2025-10-03,Fine Cuts MX,Skirt Steak,121.67,17.0,2068.39,,,,
2025-07-12,The Little Bull,Sausage,145.89,8.0,1167.12,,,,
2026-04-17,North Butcher,Chicken,205.86,8.0,1646.88,,,,
2025-07-22,The Little Bull,Sausage,182.14,12.0,2185.68,,,,
2026-04-17,Super Meats,Ribs,216.46,3.0,649.38,,,,
2025-08-25,North Butcher,Skirt Steak,78.69,9.0,708.21,,,,
2025-09-17,The Little Bull,Sausage,180.31,2.0,360.62,,,,
2025-08-13,North Butcher,Pork,136.16,18.0,2450.88,,,,
2025-10-02,Fine Cuts MX,Sausage,148.73,15.0,2230.95,,,,
2025-10-11,The Little Bull,Skirt Steak,189.29,6.0,1135.74,,,,
2026-03-17,Super Meats,Skirt Steak,171.27,19.0,3254.13,,,,
2025-10-08,Happy Cow,Sausage,270.1,24.0,6482.4,,,,
2025-08-06,Fine Cuts MX,Sausage,148.87,1.0,148.87,,,,
2025-11-13,Unknown,Beef,136.54,7.0,955.78,,Unknown,,
2026-03-29,The Little Bull,Pork,145.69,14.0,2039.66,,,,
2025-12-25,The Little Bull,Ribs,155.09,8.0,1240.72,,,,
2026-04-01,Happy Cow,Sausage,136.3,6.0,817.8,,,,
2026-02-21,Happy Cow,Skirt Steak,73.31,12.0,879.72,,,,
2025-07-23,Super Meats,Beef,193.06,15.0,2895.9,,,,
2025-06-06,Super Meats,Ribs,197.51,14.0,2765.14,,,,
2026-01-14,North Butcher,Beef,117.43,13.0,1526.59,,,,
2025-05-20,The Little Bull,Chicken,125.81,14.0,1761.34,,,,
2025-09-16,Fine Cuts MX,Unknown,206.47,19.0,3922.93,,,Unknown,
2025-09-26,Fine Cuts MX,Chicken,151.9,10.0,1519.0,,,,
2025-12-19,The Little Bull,Pork,156.0,15.0,2340.0,,,,
2026-04-01,Fine Cuts MX,Sausage,169.96,5.0,849.8,,,,
2025-11-24,Fine Cuts MX,Sausage,182.36,18.0,3282.48,,,,
2025-09-03,Fine Cuts MX,Beef,234.2,4.0,936.8,,,,
2025-07-04,The Little Bull,Beef,127.06,6.0,762.36,,,,
2025-06-23,Super Meats,Beef,105.59,3.0,316.77,,,,
2025-05-15,North Butcher,Ribs,232.85,10.0,2328.5,,,,
2025-08-06,North Butcher,Beef,72.98,5.0,364.9,,,,
2025-12-14,Unknown,Chicken,177.18,15.0,2657.7,,Unknown,,
2025-10-14,North Butcher,Skirt Steak,131.47,2.0,262.94,,,,
2026-02-07,Happy Cow,Chicken,106.3,3.0,318.9,,,,
2025-06-30,Happy Cow,Sausage,68.69,8.0,549.52,,,,
2025-06-16,North Butcher,Skirt Steak,111.65,10.0,1116.5,,,,
2025-05-04,Happy Cow,Sausage,111.99,10.0,1119.9,,,,
2026-03-03,Fine Cuts MX,Pork,141.83,8.0,1134.64,,,,
2025-12-28,Happy Cow,Skirt Steak,92.74,11.0,1020.14,,,,
2025-12-12,Super Meats,Ribs,210.73,12.0,2528.76,,,,
2025-10-10,North Butcher,Chicken,145.52,6.0,873.12,,,,
2026-01-26,Fine Cuts MX,Beef,146.42,5.0,732.1,,,,
2025-07-08,Fine Cuts MX,Skirt Steak,153.93,14.0,2155.02,,,,
2025-09-07,North Butcher,Skirt Steak,156.97,7.0,1098.79,,,,
2025-08-15,Happy Cow,Beef,172.63,18.0,3107.34,,,,
2025-10-14,Fine Cuts MX,Ribs,113.37,1.0,113.37,,,,
2025-09-12,Super Meats,Beef,175.27,6.0,1051.62,,,,
2025-09-27,Super Meats,Beef,193.5,11.0,2128.5,,,,
2025-06-30,Fine Cuts MX,Skirt Steak,174.78,17.0,2971.26,,,,
2026-04-07,The Little Bull,Ribs,129.9,14.0,1818.6,,,,
2025-11-01,Fine Cuts MX,Beef,163.95,16.0,2623.2,,,,
2025-09-09,Super Meats,Ribs,57.45,2.0,114.9,,,,
2025-04-25,Fine Cuts MX,Beef,197.17,9.0,1774.53,,,,
2026-03-13,The Little Bull,Sausage,133.27,9.0,1199.43,,,,
2025-07-06,North Butcher,Sausage,160.31,6.0,961.86,,,,
2026-04-23,Fine Cuts MX,Ribs,179.87,9.0,1618.83,,,,
2026-03-12,The Little Bull,Ribs,185.06,1.0,185.06,,,,
2026-01-20,Happy Cow,Sausage,86.1,19.0,1635.9,,,,
2026-03-01,Happy Cow,Ribs,67.81,17.0,1152.77,,,,
2025-07-03,Super Meats,Ribs,152.08,8.0,1216.64,,,,
2025-05-15,Super Meats,Sausage,68.47,4.0,273.88,,,,
2025-10-23,The Little Bull,Sausage,158.55,6.0,951.3,,,,
2025-10-16,Happy Cow,Beef,154.34,15.0,2315.1,,,,
2025-12-20,Fine Cuts MX,Sausage,112.3,4.0,449.2,,,,
2025-06-18,Happy Cow,Sausage,135.97,15.0,2039.55,,,,
2026-01-11,Super Meats,Skirt Steak,162.71,2.0,325.42,,,,
2025-05-11,The Little Bull,Pork,126.03,11.0,1386.33,,,,
2025-08-16,North Butcher,Sausage,122.98,17.0,2090.66,,,,
2025-05-06,Fine Cuts MX,Chicken,175.68,4.0,702.72,,,,
2025-07-24,The Little Bull,Chicken,126.92,13.0,1649.96,,,,
2025-06-21,Fine Cuts MX,Pork,207.62,9.0,1868.58,,,,
2025-11-17,Fine Cuts MX,Pork,126.85,10.0,1268.5,,,,
2026-03-14,Super Meats,Ribs,95.93,5.0,479.65,,,,
2025-12-04,Fine Cuts MX,Skirt Steak,171.78,18.0,3092.04,,,,
2025-12-06,North Butcher,Skirt Steak,194.61,18.0,3502.98,,,,
2025-11-17,Happy Cow,Beef,145.99,17.0,2481.83,,,,
2025-11-19,Happy Cow,Ribs,204.66,3.0,613.98,,,,
2025-09-17,The Little Bull,Sausage,122.13,2.0,244.26,,,,
2026-04-20,Super Meats,Chicken,81.51,18.0,1467.18,,,,
2025-10-23,The Little Bull,Ribs,198.82,7.0,1391.74,,,,
,The Little Bull,Unknown,205.2,4.0,820.8,Missing Date,,Unknown,
2025-05-11,North Butcher,Beef,131.04,8.0,1048.32,,,,
2025-11-01,Fine Cuts MX,Chicken,139.82,9.0,1258.38,,,,
2025-07-18,The Little Bull,Ribs,120.67,17.0,2051.39,,,,
2025-12-12,Happy Cow,Pork,140.12,12.0,1681.44,,,,
2025-07-14,Super Meats,Pork,166.54,12.0,1998.48,,,,
2026-03-23,The Little Bull,Skirt Steak,191.68,6.0,1150.08,,,,
2026-02-10,Super Meats,Pork,52.44,12.0,629.28,,,,
2025-08-11,The Little Bull,Ribs,118.55,15.0,1778.25,,,,
2025-08-14,The Little Bull,Pork,104.8,8.0,838.4,,,,
2025-12-08,Fine Cuts MX,Pork,986.4,8.0,7891.2,,,,
2026-03-12,North Butcher,Ribs,79.64,12.0,955.68,,,,
2025-07-20,Happy Cow,Pork,138.17,8.0,1105.36,,,,
2025-11-05,North Butcher,Ribs,130.18,16.0,2082.88,,,,
,Super Meats,Ribs,115.9,9.0,1043.1,Missing Date,,,
2026-04-24,Happy Cow,Chicken,91.28,9.0,821.52,,,,
2025-12-23,Happy Cow,Ribs,159.67,18.0,2874.06,,,,
2025-12-20,The Little Bull,Pork,145.19,11.0,1597.09,,,,
2026-04-09,Super Meats,Skirt Steak,151.31,17.0,2572.27,,,,
2026-04-23,Super Meats,Pork,26.57,3.0,79.71,,,,
2025-10-17,North Butcher,Chicken,114.85,7.0,803.95,,,,
2025-11-14,Fine Cuts MX,Chicken,171.7,3.0,515.1,,,,
2026-04-11,Fine Cuts MX,Chicken,151.41,10.0,1514.1,,,,
2025-09-21,Fine Cuts MX,Beef,149.54,1.0,149.54,,,,
2025-09-01,Super Meats,Chicken,219.51,3.0,658.53,,,,
2025-06-08,Fine Cuts MX,Beef,177.89,13.0,2312.57,,,,
