Date,Store,Product,Price,Quantity,Total Sales,Audit Notes
2025-08-21,Fine Cuts Mx,Chicken,$191.47,8,$1531.76,
2025-11-17,Fine Cuts Mx,Skirt Steak,$39.44,6,$236.64,
2025-06-02,The Little Bull,Pork,$106.26,15,$1593.90,
2026-03-21,North Butcher,Beef,$129.98,7,$909.86,
2026-02-02,The Little Bull,Pork,$191.41,1,$191.41,
2025-12-05,North Butcher,Beef,$200.49,10,$2004.90,
2025-07-26,Unknown,Chicken,$154.35,15,$2315.25,
2025-07-27,Fine Cuts Mx,Chicken,$102.63,15,$1539.45,
2025-11-18,Super Meats,Beef,$103.89,4,$415.56,
2025-10-24,North Butcher,Beef,$97.08,10,$970.80,
2025-08-16,Happy Cow,Skirt Steak,$124.35,15,$1865.25,
2025-05-24,North Butcher,Pork,$136.56,8,$1092.48,
2025-05-28,Happy Cow,Sausage,$119.87,9,$1078.83,
2025-09-23,Happy Cow,Beef,$215.09,8,$1720.72,
,Fine Cuts Mx,Pork,$133.54,14,$1869.56,
2026-04-03,North Butcher,Pork,$126.49,1,$126.49,
2026-01-11,Happy Cow,Ribs,$65.38,9,$588.42,
2026-02-04,Happy Cow,Ribs,$226.48,9,$2038.32,
2025-10-13,North Butcher,Pork,$72.21,17,$1227.57,
2025-12-18,Super Meats,Sausage,$10.77,19,$204.63,
2025-09-29,Happy Cow,Chicken,$115.09,17,$1956.53,
2025-10-28,Happy Cow,Sausage,$136.56,8,$1092.48,
2025-12-23,North Butcher,Chicken,$94.67,13,$1230.71,
2025-08-07,Fine Cuts Mx,Sausage,$121.64,17,$2067.88,
2025-12-04,Happy Cow,Pork,$206.44,8,$1651.52,
2026-02-07,Happy Cow,Ribs,$161.74,17,$2749.58,
2025-08-17,North Butcher,Sausage,$142.51,10,$1425.10,
2026-02-07,Fine Cuts Mx,Pork,$196.78,,$196.78,
2025-10-05,Happy Cow,Chicken,$213.58,8,$1708.64,
2025-06-07,North Butcher,Ribs,$175.02,15,$2625.30,
,Happy Cow,Sausage,$97.34,14,$1362.76,
2025-10-15,Fine Cuts Mx,Pork,$136.21,16,$2179.36,
2026-03-06,North Butcher,Pork,$97.12,32,$3107.84,
2025-10-10,Super Meats,Sausage,$166.31,18,$2993.58,
,Super Meats,Pork,$87.44,11,$961.84,
,North Butcher,Beef,$72.17,5,$360.85,
2025-12-13,Fine Cuts Mx,Chicken,$180.30,9,$1622.70,
2025-09-22,Super Meats,Pork,$198.59,17,$3376.03,
2025-12-06,North Butcher,Beef,$148.45,9,$1336.05,
2026-03-07,Super Meats,Sausage,$118.86,11,$1307.46,
,Fine Cuts Mx,Ribs,$129.09,13,$1678.17,
2026-01-26,Fine Cuts Mx,Sausage,$156.03,10,$1560.30,
2025-09-06,Super Meats,Skirt Steak,$215.60,17,$3665.20,
,North Butcher,Sausage,$121.93,6,$731.58,
2025-05-12,Super Meats,Chicken,$165.71,13,$2154.23,
2025-12-06,Fine Cuts Mx,Beef,$142.09,14,$1989.26,
2025-09-29,The Little Bull,Beef,$190.33,11,$2093.63,
2025-10-20,Super Meats,Skirt Steak,$138.75,4,$555.00,
2025-06-18,Happy Cow,Pork,$210.38,3,$631.14,
2025-06-13,The Little Bull,Beef,$62.26,15,$933.90,
2026-01-20,Fine Cuts Mx,Skirt Steak,$143.81,11,$1581.91,
2025-08-24,Fine Cuts Mx,Ribs,$168.73,2,$337.46,
2025-11-24,North Butcher,Ribs,$97.56,17,$1658.52,
2026-02-16,Fine Cuts Mx,Skirt Steak,$102.77,3,$308.31,
2025-10-01,Fine Cuts Mx,Sausage,$134.61,17,$2288.37,
2025-06-18,Fine Cuts Mx,Skirt Steak,$117.06,17,$1990.02,
2025-09-07,Happy Cow,Chicken,$169.01,17,$2873.17,
2026-01-22,The Little Bull,Ribs,$180.53,6,$1083.18,
,The Little Bull,Ribs,$217.74,9,$1959.66,
2026-01-16,Happy Cow,Skirt Steak,$201.43,10,$2014.30,
2025-09-26,Super Meats,Pork,$87.45,7,$612.15,
2025-06-18,The Little Bull,Skirt Steak,$280.30,9,$2522.70,
2026-04-07,North Butcher,Pork,$217.84,7,$1524.88,
2025-08-26,Fine Cuts Mx,Chicken,$132.03,7,$924.21,
2026-02-08,The Little Bull,Skirt Steak,$128.28,2,$256.56,
2025-06-08,Super Meats,Ribs,$134.54,12,$1614.48,
,Fine Cuts Mx,Sausage,$252.12,13,$3277.56,
2025-08-31,The Little Bull,Sausage,$174.26,10,$1742.60,
2025-07-16,Happy Cow,Skirt Steak,$162.81,13,$2116.53,
2026-04-02,The Little Bull,Ribs,$149.01,60,$8940.60,
2025-12-26,North Butcher,Pork,$148.79,16,$2380.64,
2025-12-24,Super Meats,Ribs,$122.24,10,$1222.40,
2026-03-26,North Butcher,Chicken,$158.42,18,$2851.56,
2025-10-19,Fine Cuts Mx,Chicken,$148.27,17,$2520.59,
2025-04-28,Happy Cow,Chicken,$161.71,5,$808.55,
2025-05-16,North Butcher,Beef,$199.22,14,$2789.08,
,Happy Cow,Sausage,$139.30,2,$278.60,
2026-04-17,Super Meats,Beef,$208.36,13,$2708.68,
2025-05-09,The Little Bull,Sausage,$231.06,9,$2079.54,
2025-05-19,Super Meats,Unknown,$125.20,15,$1878.00,
2025-10-13,The Little Bull,Sausage,$141.59,17,$2407.03,
,The Little Bull,Chicken,$189.80,3,$569.40,
,Happy Cow,Ribs,$202.43,15,$3036.45,
2025-10-31,North Butcher,Beef,$143.35,3,$430.05,
2025-10-02,The Little Bull,Chicken,$206.28,,$618.84,
2026-02-16,Happy Cow,Ribs,$177.17,5,$885.85,
2026-03-25,Super Meats,Chicken,$152.28,5,$761.40,
2025-07-24,North Butcher,Sausage,$118.45,5,$592.25,
2025-09-16,Happy Cow,Sausage,$152.16,19,$2891.04,
2026-04-18,Super Meats,Skirt Steak,$201.52,2,$403.04,
,Super Meats,Pork,$157.87,16,$2525.92,
2025-08-14,The Little Bull,Skirt Steak,$236.57,16,$3785.12,
2025-11-23,Super Meats,Sausage,$203.33,6,$1219.98,
2025-06-03,The Little Bull,Sausage,$141.64,11,$1558.04,
2025-06-26,Fine Cuts Mx,Chicken,$157.34,18,$2832.12,
2025-07-31,The Little Bull,Unknown,$150.17,17,$2552.89,
2026-04-13,Happy Cow,Pork,$130.45,7,$913.15,
2025-12-18,The Little Bull,Beef,$116.48,15,$1747.20,
2026-03-25,Fine Cuts Mx,Chicken,$158.78,18,$2858.04,
2026-01-07,Fine Cuts Mx,Pork,$170.43,12,$2045.16,
2026-03-13,Fine Cuts Mx,Skirt Steak,$209.75,,$3775.50,
2025-05-30,North Butcher,Chicken,$73.84,12,$886.08,
2025-10-28,Happy Cow,Chicken,$228.28,2,$456.56,
2025-12-02,Happy Cow,Ribs,$214.93,11,$2364.23,
2025-07-08,Happy Cow,Beef,$155.38,14,$2175.32,
2025-11-06,The Little Bull,Sausage,$57.66,6,$345.96,
2025-10-03,Fine Cuts Mx,Skirt Steak,$121.67,17,$2068.39,
2025-07-12,The Little Bull,Sausage,$145.89,8,$1167.12,
2026-04-17,North Butcher,Chicken,$205.86,8,$1646.88,
2025-07-22,The Little Bull,Sausage,$182.14,12,$2185.68,
2026-04-17,Super Meats,Ribs,$216.46,3,$649.38,
2025-08-25,North Butcher,Skirt Steak,$78.69,9,$708.21,
2025-09-17,The Little Bull,Sausage,$180.31,2,$360.62,
2025-08-13,North Butcher,Pork,$136.16,18,$2450.88,
2025-10-02,Fine Cuts Mx,Sausage,$148.73,15,$2230.95,
2025-10-11,The Little Bull,Skirt Steak,$189.29,6,$1135.74,
2026-03-17,Super Meats,Skirt Steak,$171.27,19,$3254.13,
2025-10-08,Happy Cow,Sausage,$270.10,24,$6482.40,
2025-08-06,Fine Cuts Mx,Sausage,$148.87,1,$148.87,
2025-11-13,Unknown,Beef,$136.54,7,$955.78,
2026-03-29,The Little Bull,Pork,$145.69,14,$2039.66,
2025-12-25,The Little Bull,Ribs,$155.09,8,$1240.72,
2026-04-01,Happy Cow,Sausage,$136.30,6,$817.80,
2026-02-21,Happy Cow,Skirt Steak,$73.31,12,$879.72,
2025-07-23,Super Meats,Beef,$193.06,15,$2895.90,
2025-06-06,Super Meats,Ribs,$197.51,14,$2765.14,
2026-01-14,North Butcher,Beef,$117.43,13,$1526.59,
2025-05-20,The Little Bull,Chicken,$125.81,14,$1761.34,
2025-09-16,Fine Cuts Mx,Unknown,$206.47,19,$3922.93,
2025-09-26,Fine Cuts Mx,Chicken,$151.90,10,$1519.00,
2025-12-19,The Little Bull,Pork,$156.00,15,$2340.00,
2026-04-01,Fine Cuts Mx,Sausage,$169.96,5,$849.80,
2025-11-24,Fine Cuts Mx,Sausage,$182.36,18,$3282.48,
2025-09-03,Fine Cuts Mx,Beef,$234.20,4,$936.80,
2025-07-04,The Little Bull,Beef,$127.06,6,$762.36,
2025-06-23,Super Meats,Beef,$105.59,3,$316.77,
2025-05-15,North Butcher,Ribs,$232.85,10,$2328.50,
2025-08-06,North Butcher,Beef,$72.98,5,$364.90,
2025-12-14,Unknown,Chicken,$177.18,15,$2657.70,
2025-10-14,North Butcher,Skirt Steak,$131.47,2,$262.94,
2026-02-07,Happy Cow,Chicken,$106.30,3,$318.90,
2025-06-30,Happy Cow,Sausage,$68.69,8,$549.52,
2025-06-16,North Butcher,Skirt Steak,$111.65,10,$1116.50,
2025-05-04,Happy Cow,Sausage,$111.99,10,$1119.90,
2026-03-03,Fine Cuts Mx,Pork,$141.83,8,$1134.64,
2025-12-28,Happy Cow,Skirt Steak,$92.74,11,$1020.14,
2025-12-12,Super Meats,Ribs,$210.73,12,$2528.76,
2025-10-10,North Butcher,Chicken,$145.52,6,$873.12,
2026-01-26,Fine Cuts Mx,Beef,$146.42,5,$732.10,
2025-07-08,Fine Cuts Mx,Skirt Steak,$153.93,14,$2155.02,
2025-09-07,North Butcher,Skirt Steak,$156.97,7,$1098.79,
2025-08-15,Happy Cow,Beef,$172.63,18,$3107.34,
2025-10-14,Fine Cuts Mx,Ribs,$113.37,1,$113.37,
2025-09-12,Super Meats,Beef,$175.27,6,$1051.62,
2025-09-27,Super Meats,Beef,$193.50,11,$2128.50,
2025-06-30,Fine Cuts Mx,Skirt Steak,$174.78,17,$2971.26,
2026-04-07,The Little Bull,Ribs,$129.90,14,$1818.60,
2025-11-01,Fine Cuts Mx,Beef,$163.95,16,$2623.20,
2025-09-09,Super Meats,Ribs,$57.45,2,$114.90,
2025-04-25,Fine Cuts Mx,Beef,$197.17,9,$1774.53,
2026-03-13,The Little Bull,Sausage,$133.27,9,$1199.43,
2025-07-06,North Butcher,Sausage,$160.31,6,$961.86,
2026-04-23,Fine Cuts Mx,Ribs,$179.87,9,$1618.83,
2026-03-12,The Little Bull,Ribs,$185.06,1,$185.06,
2026-01-20,Happy Cow,Sausage,$86.10,19,$1635.90,
2026-03-01,Happy Cow,Ribs,$67.81,17,$1152.77,
2025-07-03,Super Meats,Ribs,$152.08,8,$1216.64,
2025-05-15,Super Meats,Sausage,$68.47,4,$273.88,
2025-10-23,The Little Bull,Sausage,$158.55,6,$951.30,
2025-10-16,Happy Cow,Beef,$154.34,15,$2315.10,
2025-12-20,Fine Cuts Mx,Sausage,$112.30,4,$449.20,
2025-06-18,Happy Cow,Sausage,$135.97,15,$2039.55,
2026-01-11,Super Meats,Skirt Steak,$162.71,2,$325.42,
2025-05-11,The Little Bull,Pork,$126.03,11,$1386.33,
2025-08-16,North Butcher,Sausage,$122.98,17,$2090.66,
2025-05-06,Fine Cuts Mx,Chicken,$175.68,4,$702.72,
2025-07-24,The Little Bull,Chicken,$126.92,13,$1649.96,
2025-06-21,Fine Cuts Mx,Pork,$207.62,9,$1868.58,
2025-11-17,Fine Cuts Mx,Pork,$126.85,10,$1268.50,
2026-03-14,Super Meats,Ribs,$95.93,5,$479.65,
2025-12-04,Fine Cuts Mx,Skirt Steak,$171.78,18,$3092.04,
2025-12-06,North Butcher,Skirt Steak,$194.61,18,$3502.98,
2025-11-17,Happy Cow,Beef,$145.99,,$2481.83,
2025-11-19,Happy Cow,Ribs,$204.66,3,$613.98,
2025-09-17,The Little Bull,Sausage,$122.13,2,$244.26,
2026-04-20,Super Meats,Chicken,$81.51,18,$1467.18,
2025-10-23,The Little Bull,Ribs,$198.82,7,$1391.74,
,The Little Bull,Unknown,$205.20,4,$820.80,
2025-05-11,North Butcher,Beef,$131.04,8,$1048.32,
2025-11-01,Fine Cuts Mx,Chicken,$139.82,9,$1258.38,
2025-07-18,The Little Bull,Ribs,$120.67,17,$2051.39,
2025-12-12,Happy Cow,Pork,$140.12,12,$1681.44,
2025-07-14,Super Meats,Pork,$166.54,12,$1998.48,
2026-03-23,The Little Bull,Skirt Steak,$191.68,6,$1150.08,
2026-02-10,Super Meats,Pork,$52.44,12,$629.28,
2025-08-11,The Little Bull,Ribs,$118.55,15,$1778.25,
2025-08-14,The Little Bull,Pork,$104.80,8,$838.40,
2025-12-08,Fine Cuts Mx,Pork,$986.40,8,$7891.20,
2026-03-12,North Butcher,Ribs,$79.64,12,$955.68,
2025-07-20,Happy Cow,Pork,$138.17,8,$1105.36,
2025-11-05,North Butcher,Ribs,$130.18,16,$2082.88,
,Super Meats,Ribs,$115.90,9,$1043.10,
2026-04-24,Happy Cow,Chicken,$91.28,9,$821.52,
2025-12-23,Happy Cow,Ribs,$159.67,18,$2874.06,
2025-12-20,The Little Bull,Pork,$145.19,11,$1597.09,
2026-04-09,Super Meats,Skirt Steak,$151.31,17,$2572.27,
2026-04-23,Super Meats,Pork,$26.57,3,$79.71,
2025-10-17,North Butcher,Chicken,$114.85,7,$803.95,
2025-11-14,Fine Cuts Mx,Chicken,$171.70,3,$515.10,
2026-04-11,Fine Cuts Mx,Chicken,$151.41,10,$1514.10,
2025-09-21,Fine Cuts Mx,Beef,$149.54,1,$149.54,
2025-09-01,Super Meats,Chicken,$219.51,3,$658.53,
2025-06-08,Fine Cuts Mx,Beef,$177.89,13,$2312.57,
2025-05-13,North Butcher,Skirt Steak,$152.83,13,$1986.79,
2025-12-21,The Little Bull,Beef,$67.18,19,$1276.42,
2026-03-11,North Butcher,Skirt Steak,$212.82,2,$425.64,
2025-11-02,Fine Cuts Mx,Sausage,$75.21,19,$1428.99,
2025-06-14,The Little Bull,Sausage,$194.11,14,$2717.54,
2025-12-10,Fine Cuts Mx,Chicken,$150.78,7,$1055.46,
,North Butcher,Pork,$113.56,4,$454.24,
2025-09-26,The Little Bull,Beef,$81.66,7,$571.62,
2026-03-14,North Butcher,Sausage,$138.76,7,$971.32,
2025-10-01,The Little Bull,Unknown,$148.51,6,$891.06,
2025-09-04,Super Meats,Ribs,$141.28,7,$988.96,
2026-04-15,Unknown,Chicken,$170.81,18,$3074.58,
2025-11-06,Happy Cow,Skirt Steak,$203.81,17,$3464.77,
2025-10-15,Fine Cuts Mx,Beef,$209.83,4,$839.32,
2025-12-17,Happy Cow,Beef,$142.07,18,$2557.26,
2025-07-06,Super Meats,Sausage,$106.26,10,$1062.60,
2025-12-22,Super Meats,Skirt Steak,$36.18,17,$615.06,
2025-10-16,Super Meats,Chicken,$166.26,8,$1330.08,
2026-02-02,Unknown,Sausage,$141.66,2,$283.32,
2025-08-26,The Little Bull,Sausage,$168.32,13,$2188.16,
2025-11-25,Fine Cuts Mx,Skirt Steak,$137.15,1,$137.15,
,Super Meats,Unknown,$178.77,8,$1430.16,
2025-12-19,North Butcher,Chicken,$210.02,7,$1470.14,
2026-02-19,Happy Cow,Pork,$117.16,5,$585.80,
2025-06-05,North Butcher,Chicken,$143.70,15,$2155.50,
2026-03-29,Happy Cow,Chicken,$114.13,8,$913.04,
2026-02-28,Super Meats,Beef,$87.37,17,$1485.29,
2025-06-17,Happy Cow,Beef,$124.88,9,$1123.92,
2025-08-20,The Little Bull,Sausage,$117.82,8,$942.56,
2025-09-03,Super Meats,Sausage,$196.39,16,$3142.24,
2025-08-29,Fine Cuts Mx,Beef,$131.75,8,$1054.00,
2025-10-31,Happy Cow,Pork,$108.04,8,$864.32,
2026-01-20,Fine Cuts Mx,Ribs,$178.97,12,$2147.64,
2026-04-07,The Little Bull,Beef,$157.38,3,$472.14,
2026-01-19,Happy Cow,Pork,$132.50,15,$1987.50,
2025-06-07,Super Meats,Ribs,$177.47,,$1419.76,
2026-04-18,Happy Cow,Sausage,$206.24,13,$2681.12,
2025-12-23,North Butcher,Skirt Steak,$110.03,15,$1650.45,
